"subjectID" "activity" "mean(means)"
"144" 24 "walking_upstairs" -0.43583828688532
"145" 25 "laying" -0.589506698496036
"146" 25 "sitting" -0.645307467575153
"147" 25 "standing" -0.645297950751058
"148" 25 "walking" -0.460842122215599
"149" 25 "walking_downstairs" -0.429924410531157
"150" 25 "walking_upstairs" -0.48551223324769
"151" 26 "laying" -0.640679888089531
"152" 26 "sitting" -0.642718508921569
"153" 26 "standing" -0.644004547265191
"154" 26 "walking" -0.392008755561813
"155" 26 "walking_downstairs" -0.322473123490661
"156" 26 "walking_upstairs" -0.41167278243368
"157" 27 "laying" -0.645993647892745
"158" 27 "sitting" -0.647329814034974
"159" 27 "standing" -0.644356212162637
"160" 27 "walking" -0.377771272094104
"161" 27 "walking_downstairs" -0.312446129792811
"162" 27 "walking_upstairs" -0.426267052017458
"163" 28 "laying" -0.640518710327799
"164" 28 "sitting" -0.637322526513564
"165" 28 "standing" -0.627883524309929
"166" 28 "walking" -0.393787255237739
"167" 28 "walking_downstairs" -0.291650876955502
"168" 28 "walking_upstairs" -0.401092965937606
"169" 29 "laying" -0.646324698842316
"170" 29 "sitting" -0.644100724926612
"171" 29 "standing" -0.650245278868483
"172" 29 "walking" -0.352894943404783
"173" 29 "walking_downstairs" -0.31726279115201
"174" 29 "walking_upstairs" -0.364429747315138
"175" 30 "laying" -0.642625296795821
"176" 30 "sitting" -0.646017901904583
"177" 30 "standing" -0.630635453342216
"178" 30 "walking" -0.373607524126774
"179" 30 "walking_downstairs" -0.358790607945901
"180" 30 "walking_upstairs" -0.439370730188029
